GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,com.api.library.configurations,SecurityConfig,0,14,0,0,0,3,0,2,0,2
library,com.api.library.configurations,SwaggerConfig,0,39,0,0,0,6,0,4,0,4
library,com.api.library.configurations,AppConfig,0,7,0,0,0,2,0,2,0,2
library,com.api.library.configurations,LogFileWebEndpoint,49,0,8,0,15,0,8,0,4,0
library,com.api.library.book,BookDTO,180,50,38,0,1,5,23,11,4,11
library,com.api.library.book,BookService,11,75,4,8,2,18,4,10,0,8
library,com.api.library.book,BookDTO.BookDTOBuilder,31,30,0,0,0,1,2,5,2,5
library,com.api.library.book,Book,215,61,45,1,0,4,27,13,4,13
library,com.api.library.book,BookController,59,160,0,0,10,25,3,13,3,13
library,com.api.library.book,Book.BookBuilder,36,37,0,0,0,1,2,6,2,6
library,com.api.library.loan,LoanFilterDTO.LoanFilterDTOBuilder,16,21,0,0,0,1,1,4,1,4
library,com.api.library.loan,ReturnedLoanDTO,72,20,14,0,0,4,11,5,4,5
library,com.api.library.loan,Loan,263,59,53,1,0,4,34,12,7,12
library,com.api.library.loan,LoanDTO.LoanDTOBuilder,41,32,0,0,0,1,3,5,3,5
library,com.api.library.loan,LoanDTO,216,60,46,0,0,4,27,13,4,13
library,com.api.library.loan,LoanController,0,112,0,0,0,18,0,7,0,7
library,com.api.library.loan,ReturnedLoanDTO.ReturnedLoanDTOBuilder,11,14,0,0,0,1,1,3,1,3
library,com.api.library.loan,LoanFilterDTO,108,30,22,0,0,4,15,7,4,7
library,com.api.library.loan,LoanService,17,43,0,2,4,9,2,6,2,5
library,com.api.library.loan,Loan.LoanBuilder,51,34,0,0,0,1,4,5,4,5
library,com.api.library.utilities,EmailServiceImple,29,3,0,0,8,1,1,1,1,1
library,com.api.library.utilities,ScheduleService,22,9,0,0,4,1,2,1,2,1
library,com.api.library,LibraryApplication,5,3,0,0,2,1,1,1,1,1
library,com.api.library.exceptions,LibraryException,0,4,0,0,0,2,0,1,0,1
library,com.api.library.exceptions,ApplicationControllerAdvice,0,24,0,0,0,4,0,4,0,4
library,com.api.library.exceptions,ApiErrors,4,48,0,0,2,11,1,5,1,5
